#Flux file (2D) for RDK2
# measurments by Jeff Nico
# extracted and reformatted by Matthew Bales
#Transposed Field (1=true,0=false)
0
# [Start(cm)] [Spacing (cm)] [# of Entries]
-1.49 0.06 150
-1.49 0.06 150
# [x(cm)][y(cm)][Potential (V)]
-1.490000e+00 -1.490000e+00 0.000000e+00
-1.490000e+00 -1.470000e+00 0.000000e+00
-1.490000e+00 -1.450000e+00 0.000000e+00
-1.490000e+00 -1.430000e+00 0.000000e+00
-1.490000e+00 -1.410000e+00 0.000000e+00
-1.490000e+00 -1.390000e+00 0.000000e+00
-1.490000e+00 -1.370000e+00 1.338432e-04
-1.490000e+00 -1.350000e+00 0.000000e+00
-1.490000e+00 -1.330000e+00 6.261086e-04
-1.490000e+00 -1.310000e+00 0.000000e+00
-1.490000e+00 -1.290000e+00 0.000000e+00
-1.490000e+00 -1.270000e+00 0.000000e+00
-1.490000e+00 -1.250000e+00 0.000000e+00
-1.490000e+00 -1.230000e+00 0.000000e+00
-1.490000e+00 -1.210000e+00 9.564946e-04
-1.490000e+00 -1.190000e+00 0.000000e+00
-1.490000e+00 -1.170000e+00 1.162291e-03
-1.490000e+00 -1.150000e+00 0.000000e+00
-1.490000e+00 -1.130000e+00 3.501263e-04
-1.490000e+00 -1.110000e+00 0.000000e+00
-1.490000e+00 -1.090000e+00 4.575032e-04
-1.490000e+00 -1.070000e+00 4.864748e-04
-1.490000e+00 -1.050000e+00 9.160751e-04
-1.490000e+00 -1.030000e+00 0.000000e+00
-1.490000e+00 -1.010000e+00 0.000000e+00
-1.490000e+00 -9.900000e-01 0.000000e+00
-1.490000e+00 -9.700000e-01 0.000000e+00
-1.490000e+00 -9.500000e-01 3.988680e-04
-1.490000e+00 -9.300000e-01 0.000000e+00
-1.490000e+00 -9.100000e-01 0.000000e+00
-1.490000e+00 -8.900000e-01 3.163803e-04
-1.490000e+00 -8.700000e-01 0.000000e+00
-1.490000e+00 -8.500000e-01 5.152032e-03
-1.490000e+00 -8.300000e-01 0.000000e+00
-1.490000e+00 -8.100000e-01 1.834194e-03
-1.490000e+00 -7.900000e-01 2.725651e-03
-1.490000e+00 -7.700000e-01 0.000000e+00
-1.490000e+00 -7.500000e-01 1.528264e-03
-1.490000e+00 -7.300000e-01 1.120033e-04
-1.490000e+00 -7.100000e-01 0.000000e+00
-1.490000e+00 -6.900000e-01 0.000000e+00
-1.490000e+00 -6.700000e-01 0.000000e+00
-1.490000e+00 -6.500000e-01 1.588819e-03
-1.490000e+00 -6.300000e-01 4.408335e-03
-1.490000e+00 -6.100000e-01 0.000000e+00
-1.490000e+00 -5.900000e-01 0.000000e+00
-1.490000e+00 -5.700000e-01 1.751552e-03
-1.490000e+00 -5.500000e-01 7.455935e-04
-1.490000e+00 -5.300000e-01 2.884388e-03
-1.490000e+00 -5.100000e-01 1.446648e-03
-1.490000e+00 -4.900000e-01 0.000000e+00
-1.490000e+00 -4.700000e-01 2.136771e-04
-1.490000e+00 -4.500000e-01 2.360752e-03
-1.490000e+00 -4.300000e-01 5.488341e-05
-1.490000e+00 -4.100000e-01 3.408899e-03
-1.490000e+00 -3.900000e-01 9.004656e-04
-1.490000e+00 -3.700000e-01 4.573176e-04
-1.490000e+00 -3.500000e-01 1.769764e-03
-1.490000e+00 -3.300000e-01 2.542322e-04
-1.490000e+00 -3.100000e-01 1.380276e-03
-1.490000e+00 -2.900000e-01 7.427636e-04
-1.490000e+00 -2.700000e-01 9.045569e-03
-1.490000e+00 -2.500000e-01 1.380971e-03
-1.490000e+00 -2.300000e-01 3.072559e-04
-1.490000e+00 -2.100000e-01 3.598494e-04
-1.490000e+00 -1.900000e-01 0.000000e+00
-1.490000e+00 -1.700000e-01 8.262933e-04
-1.490000e+00 -1.500000e-01 0.000000e+00
-1.490000e+00 -1.300000e-01 8.280459e-04
-1.490000e+00 -1.100000e-01 3.818467e-05
-1.490000e+00 -9.000000e-02 1.506311e-05
-1.490000e+00 -7.000000e-02 5.575322e-04
-1.490000e+00 -5.000000e-02 1.740036e-03
-1.490000e+00 -3.000000e-02 0.000000e+00
-1.490000e+00 -1.000000e-02 1.606141e-04
-1.490000e+00 1.000000e-02 1.576572e-03
-1.490000e+00 3.000000e-02 3.050287e-04
-1.490000e+00 5.000000e-02 3.092528e-03
-1.490000e+00 7.000000e-02 7.770892e-05
-1.490000e+00 9.000000e-02 0.000000e+00
-1.490000e+00 1.100000e-01 0.000000e+00
-1.490000e+00 1.300000e-01 0.000000e+00
-1.490000e+00 1.500000e-01 3.221902e-04
-1.490000e+00 1.700000e-01 5.064869e-04
-1.490000e+00 1.900000e-01 1.973312e-03
-1.490000e+00 2.100000e-01 4.494858e-05
-1.490000e+00 2.300000e-01 1.096481e-03
-1.490000e+00 2.500000e-01 0.000000e+00
-1.490000e+00 2.700000e-01 0.000000e+00
-1.490000e+00 2.900000e-01 0.000000e+00
-1.490000e+00 3.100000e-01 0.000000e+00
-1.490000e+00 3.300000e-01 8.164944e-05
-1.490000e+00 3.500000e-01 2.673813e-04
-1.490000e+00 3.700000e-01 2.561370e-03
-1.490000e+00 3.900000e-01 6.649138e-05
-1.490000e+00 4.100000e-01 2.974710e-03
-1.490000e+00 4.300000e-01 0.000000e+00
-1.490000e+00 4.500000e-01 2.067479e-03
-1.490000e+00 4.700000e-01 2.129450e-03
-1.490000e+00 4.900000e-01 0.000000e+00
-1.490000e+00 5.100000e-01 4.258760e-04
-1.490000e+00 5.300000e-01 5.429685e-03
-1.490000e+00 5.500000e-01 4.268139e-03
-1.490000e+00 5.700000e-01 0.000000e+00
-1.490000e+00 5.900000e-01 7.147896e-04
-1.490000e+00 6.100000e-01 0.000000e+00
-1.490000e+00 6.300000e-01 0.000000e+00
-1.490000e+00 6.500000e-01 5.919552e-04
-1.490000e+00 6.700000e-01 2.635941e-03
-1.490000e+00 6.900000e-01 1.118040e-03
-1.490000e+00 7.100000e-01 3.919473e-05
-1.490000e+00 7.300000e-01 1.097970e-03
-1.490000e+00 7.500000e-01 1.677273e-04
-1.490000e+00 7.700000e-01 1.152121e-03
-1.490000e+00 7.900000e-01 0.000000e+00
-1.490000e+00 8.100000e-01 7.658097e-04
-1.490000e+00 8.300000e-01 0.000000e+00
-1.490000e+00 8.500000e-01 0.000000e+00
-1.490000e+00 8.700000e-01 0.000000e+00
